CyberCBP Security Report
Generated At,2026-04-18T23:36:13.400178
Total Threats,154
Total Vulnerabilities,137

=== THREATS ===
ID,Timestamp,Severity,Rule ID,Source,Description
869feff0…,2026-04-18 22:02:33,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
9c0751f4…,2026-04-18 21:57:33,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
b41971c8…,2026-04-18 21:57:33,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
8bac4d44…,2026-04-18 21:52:33,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
dbf53d1f…,2026-04-18 21:52:33,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
82fb0fe9…,2026-04-18 21:47:33,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
c9713668…,2026-04-18 21:47:33,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
d20d6581…,2026-04-18 21:42:33,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
640ef831…,2026-04-18 21:42:33,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
4ff79f4b…,2026-04-18 21:37:33,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
e8dde696…,2026-04-18 21:37:33,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
e9527a91…,2026-04-18 21:32:33,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
6656b393…,2026-04-18 21:32:33,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
df6c13b7…,2026-04-18 21:27:32,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
c29a9504…,2026-04-18 21:27:32,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
8f8b9f6c…,2026-04-18 21:22:32,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
7ea11f29…,2026-04-18 21:22:32,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
832a6bc3…,2026-04-18 21:17:32,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
15de2515…,2026-04-18 21:17:32,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
b7bf975d…,2026-04-18 21:12:32,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
cc4f7a7d…,2026-04-18 21:12:32,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
e7ef8b8d…,2026-04-18 21:07:32,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
9ae40c96…,2026-04-18 21:07:32,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
8fd3fc6f…,2026-04-18 21:02:32,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
e951e8d4…,2026-04-18 21:02:32,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
90024ba3…,2026-04-18 20:57:32,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
4f95ff09…,2026-04-18 20:57:32,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
6ae6944f…,2026-04-18 20:52:32,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
b84788f0…,2026-04-18 20:52:32,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
1b00aa35…,2026-04-18 20:47:32,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
18d4880d…,2026-04-18 20:47:32,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
36074ef1…,2026-04-18 20:42:32,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
3a2936c8…,2026-04-18 20:42:32,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
8668bb36…,2026-04-18 20:37:32,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
5188c4ec…,2026-04-18 20:37:32,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
d8b10869…,2026-04-18 20:32:32,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
e5389de9…,2026-04-18 20:32:32,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
d55b56ce…,2026-04-18 20:27:32,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
26e30e56…,2026-04-18 20:27:32,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
cc8fbbf8…,2026-04-18 20:22:31,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
52098043…,2026-04-18 20:22:31,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
28642368…,2026-04-18 20:17:31,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
1fc18680…,2026-04-18 20:17:31,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
b6040352…,2026-04-18 20:12:31,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
a2cdb0be…,2026-04-18 20:12:31,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
f5eb89e9…,2026-04-18 20:07:31,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
41afcf1a…,2026-04-18 20:07:31,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
82f47502…,2026-04-18 20:02:31,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
21d2c4ea…,2026-04-18 20:02:31,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
83ebaaed…,2026-04-18 19:57:31,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
d720a870…,2026-04-18 19:57:31,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
c786a9f4…,2026-04-18 19:52:31,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
92ebacce…,2026-04-18 19:52:31,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
e79d66d4…,2026-04-18 19:47:31,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
2d7de876…,2026-04-18 19:47:31,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
2d0eac53…,2026-04-18 19:42:31,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
9076011e…,2026-04-18 19:42:31,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
086b1ead…,2026-04-18 19:37:31,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
dd98ce97…,2026-04-18 19:37:31,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
4a1b32f5…,2026-04-18 19:32:31,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
87aa745a…,2026-04-18 19:32:31,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
eaf03ba3…,2026-04-18 19:27:31,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
e4a53d2a…,2026-04-18 19:27:31,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
9d361259…,2026-04-18 19:22:31,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
e19b8ab0…,2026-04-18 19:22:31,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
0a27875c…,2026-04-18 19:17:30,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
cd9868d5…,2026-04-18 19:17:30,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
b8f5ebd3…,2026-04-18 19:14:41,Medium,WORLD_WRITABLE_PATH,scanner,World-writable file detected: /tmp/.getscreen.me/memory/getscreen.me.app.shm
b1873f7e…,2026-04-18 19:14:41,Medium,WORLD_WRITABLE_PATH,scanner,World-writable file detected: /tmp/.getscreen.me/getscreen.me.gui
c4c9f137…,2026-04-18 19:14:36,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
918a6704…,2026-04-18 19:14:36,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
4eca6bee…,2026-04-18 19:12:35,Medium,WORLD_WRITABLE_PATH,scanner,World-writable file detected: /tmp/.getscreen.me/memory/getscreen.me.app.shm
08638b96…,2026-04-18 19:12:35,Medium,WORLD_WRITABLE_PATH,scanner,World-writable file detected: /tmp/.getscreen.me/getscreen.me.gui
d7fa169f…,2026-04-18 19:12:35,Critical,FIREWALL_DISABLED,scanner,macOS Application Firewall is DISABLED — system is exposed to network threats
2b2f6622…,2026-04-18 19:12:30,Medium,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
89fe8bdb…,2026-04-18 19:12:30,Medium,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
aa4aa226…,2026-04-14 23:12:08,Medium,HIGH_CPU,rules_engine,Process 'mediaanalysisd' (PID 711) is using 101.0% CPU
0cb23790…,2026-04-14 23:11:08,Medium,HIGH_CPU,rules_engine,Process 'mediaanalysisd' (PID 711) is using 97.6% CPU
882cd0da…,2026-04-14 23:11:00,High,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
9608d7fe…,2026-04-14 23:11:00,High,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
d096c02d…,2026-04-14 13:12:19,High,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
4c7c80a7…,2026-04-14 13:12:19,High,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
ce6427fe…,2026-04-14 13:09:00,High,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
962d1d5d…,2026-04-14 13:09:00,High,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
6db1d37f…,2026-04-14 12:51:40,High,OPEN_RISKY_PORT,scanner,MySQL — database port should not be public
a76800a7…,2026-04-14 12:51:40,High,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
5bca0141…,2026-04-06 15:24:37,High,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
6f874c9f…,2026-04-06 10:38:30,High,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
6c3f4774…,2026-04-06 10:33:30,High,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
7d69bbb8…,2026-04-06 10:32:13,Anomaly,ML_ANOMALY,ml_engine,Anomaly detected by ML engine (score=-0.5000). CPU=3.1% MEM=67.8% PROCS=843 CONNS=0
5e122ad5…,2026-04-06 10:31:59,High,OPEN_RISKY_PORT,scanner,SSH — ensure key-based auth & no root login
d6034b6f…,2026-04-06 10:30:16,Anomaly,ML_ANOMALY,ml_engine,Anomaly detected by ML engine (score=-0.5000). CPU=10.4% MEM=67.9% PROCS=845 CONNS=0
